Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price
Corsair RM850 (84),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite / Black,(84),Add
Lian Li EDGE GOLD (9),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorWhite,(9),€155.69Add
Gigabyte P750GM (33),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(33),€92.80Add
Corsair CX (2023) (9),TypeATX,Efficiency Rating80+ Bronze,Wattage750 W,ModularNo,ColorBlack,(9),€69.95Add
NZXT C850 (2024) (10),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(10),Out of stock€145.10Add
MSI MEG Ai1600T PCIE5 (2),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorBlack / Gold,(2),€615.88Add
Gigabyte UD750GM PG5 V2 (0),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(0),€85.84Add
be quiet! Dark Power 14 (0),TypeATX,Efficiency Rating80+ Titanium,Wattage1200 W,ModularFull,ColorBlack,(0),€280.32Add
Apevia Galaxy (3),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularSemi,ColorBlack,(3),Add
ASRock Steel Legend SL-850G (1),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(1),€125.80Add
Rosewill VSB (3),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularSemi,ColorBlack,(3),Add
Gigabyte UD750GM PG5 V2 (0),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorWhite,(0),€85.84Add
be quiet! Power Zone 2 (1),TypeATX,Efficiency Rating80+ Platinum,Wattage850 W,ModularFull,ColorBlack,(1),€143.27Add
SeaSonic FOCUS GX (48),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(48),Add
MSI MPG A850G PCIE5 (33),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(33),€141.80Add
Lian Li EDGE GOLD (8),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(8),Add
MSI A1000G PCIE5 (44),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(44),€142.94Add
