Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price
Samsung 9100 PRO (23),Capacity2 TB,Price / GB€0.147,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(23),€294.33Add
Western Digital WD_Black SN850X (122),Capacity1 TB,Price / GB€0.125,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(122),€124.87Add
Samsung 870 Evo (77),Capacity1 TB,Price / GB€0.159,TypeSSD,Cache1024 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(77),€159.28Add
Crucial P310 (4),Capacity2 TB,Price / GB€0.133,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(4),€266.69Add
Kingston NV2 (157),Capacity1 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(157),Add
Samsung 980 Pro (346),Capacity1 TB,Price / GB€0.288,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(346),€288.00Add
Samsung 9100 PRO (19),Capacity4 TB,Price / GB€0.130,TypeSSD,Cache4096 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(19),€519.01Add
Silicon Power UD90 (26),Capacity1 TB,Price / GB€0.159,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(26),€158.87Add
Crucial P3 Plus (122),Capacity1 TB,Price / GB€0.173,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(122),€172.54Add
Kingston NV3 (7),Capacity500 GB,Price / GB€0.216,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€108.00Add
Western Digital Caviar Blue (2387),Capacity1 TB,Price / GB€0.089,Type7200 RPM,Cache64 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(2387),€88.94Add
Seagate Exos M (0),Capacity30 TB,Price / GB€0.028,Type7200 RPM,Cache,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(0),€841.70Add
Patriot P400 Lite (7),Capacity1 TB,Price / GB€0.140,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€139.99Add
Western Digital WD_BLACK SN8100 w/Heatsink (0),Capacity8 TB,Price / GB€0.266,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(0),€2124.99Add
Samsung 970 Evo Plus (211),Capacity2 TB,Price / GB€0.197,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(211),€393.98Add
Kingston NV3 (13),Capacity2 TB,Price / GB€0.127,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(13),€254.80Add
Samsung 990 EVO Plus (26),Capacity4 TB,Price / GB€0.101,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(26),€404.99Add
Western Digital WD_BLACK SN7100 (11),Capacity2 TB,Price / GB€0.127,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(11),€254.35Add
Crucial P510 (8),Capacity1 TB,Price / GB€0.140,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(8),€139.99Add
Seagate BarraCuda (81),Capacity4 TB,Price / GB€0.038,Type5400 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(81),€150.52Add
Western Digital WD_BLACK SN7100 (7),Capacity1 TB,Price / GB€0.182,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€181.80Add
Western Digital WD Blue SN5000 (5),Capacity1 TB,Price / GB€0.153,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(5),€153.19Add
Samsung 970 Evo Plus (497),Capacity1 TB,Price / GB€0.255,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(497),€255.40Add
Western Digital WD_Black SN850X (82),Capacity4 TB,Price / GB€0.112,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(82),€447.40Add
Samsung 9100 PRO w/Heatsink (0),Capacity8 TB,Price / GB€0.129,TypeSSD,Cache8192 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(0),€1028.90Add
Samsung 870 Evo (36),Capacity500 GB,Price / GB€0.226,TypeSSD,Cache512 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(36),€113.00Add
Silicon Power UD90 (56),Capacity2 TB,Price / GB€0.142,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(56),€284.99Add
Crucial P3 Plus (113),Capacity2 TB,Price / GB€0.116,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(113),€231.00Add
Crucial BX500 (33),Capacity1 TB,Price / GB€0.124,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(33),€124.34Add
Samsung 980 Pro (344),Capacity2 TB,Price / GB€0.193,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(344),€385.05Add
Crucial P510 (3),Capacity2 TB,Price / GB€0.125,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(3),€249.99Add
Samsung 870 Evo (36),Capacity2 TB,Price / GB€0.143,TypeSSD,Cache2048 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(36),€286.15Add
Samsung 9100 PRO (10),Capacity1 TB,Price / GB€0.211,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(10),€211.00Add
Seagate BarraCuda (255),Capacity1 TB,Price / GB€0.082,Type7200 RPM,Cache64 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(255),€82.00Add
